station	year	month	day	precipitation	min_temp	max_temp	avg_temp	max_wind	min_wind	max_sky	avg_sky	min_vis	max_vis	avg_vis	min_dew	max_dew	avg_dew	min_pres	max_pres	avg_pres	weekday
d	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	d
Adelaide	1958	06	14	0.0	7.8	13.3	10.1	7.7	?	?	?	24000.0	30000.0	27750.0	3.3	7.8	5.2	?	?	?	Sat
Adelaide	1958	06	21	0.0	9.4	15.6	12.8	8.2	?	?	?	30000.0	40000.0	32500.0	0.0	7.2	3.3	?	?	?	Sat
Adelaide	1958	06	28	0.0	0.6	12.2	5.3	3.1	?	?	?	16000.0	40000.0	29750.0	0.6	2.8	1.6	?	?	?	Sat
Adelaide	1973	01	06	0.0	17.0	21.0	19.2	4.6	30.0	9000.0	3486.0	30000.0	30000.0	30000.0	10.0	12.0	11.0	1016.6	1018.3	1017.4	Sat
Adelaide	1973	01	20	0.0	31.0	40.0	34.2	?	3600.0	22000.0	12800.0	40000.0	40000.0	40000.0	12.0	14.0	13.0	1010.7	1012.9	1012.0	Sat
Adelaide	1973	02	17	0.0	29.0	32.0	30.0	3.0	3600.0	22000.0	15866.7	40000.0	50000.0	46666.7	16.0	29.0	20.7	1011.4	1012.6	1012.0	Sat
Adelaide	1973	03	03	0.0	15.0	24.0	19.3	7.7	3600.0	22000.0	15866.7	40000.0	50000.0	43333.3	9.0	14.0	11.0	1020.8	1024.6	1022.9	Sat
Adelaide	1973	03	10	0.0	20.0	31.0	24.2	6.1	22000.0	22000.0	22000.0	40000.0	50000.0	42500.0	9.0	15.0	11.8	1009.4	1016.0	1012.7	Sat
Adelaide	1973	03	17	0.0	20.0	21.0	20.2	2.0	420.0	3600.0	2805.0	16000.0	24000.0	18000.0	13.0	20.0	17.2	1008.5	1011.0	1010.3	Sat
Adelaide	1973	03	24	0.0	20.0	26.0	23.0	6.7	3600.0	9000.0	7650.0	24000.0	40000.0	31000.0	9.0	17.0	12.8	1018.6	1020.3	1019.4	Sat
Adelaide	1973	03	31	0.0	12.0	18.0	14.8	8.2	22000.0	22000.0	22000.0	40000.0	40000.0	40000.0	2.0	7.0	5.2	1022.7	1025.3	1024.0	Sat
Adelaide	1973	04	07	0.0	16.0	21.0	17.7	7.7	3600.0	22000.0	11533.3	30000.0	50000.0	40000.0	8.0	13.0	10.3	1022.1	1024.7	1023.7	Sat
Adelaide	1973	04	14	0.0	17.0	25.0	20.4	4.1	750.0	3600.0	3030.0	16000.0	40000.0	29200.0	11.0	16.0	14.0	1011.4	1013.0	1012.3	Sat
Adelaide	1973	04	21	0.0	15.0	19.0	17.0	10.3	900.0	1200.0	1125.0	24000.0	30000.0	28500.0	8.0	15.0	11.8	1014.0	1020.9	1016.0	Sat
Adelaide	1973	04	28	0.0	12.0	19.0	14.8	5.6	3600.0	22000.0	7280.0	40000.0	40000.0	40000.0	8.0	9.0	8.6	1016.7	1019.0	1018.0	Sat
Adelaide	1973	05	12	0.0	12.0	18.0	15.2	6.1	420.0	22000.0	16605.0	24000.0	40000.0	29500.0	11.0	17.0	13.2	1017.7	1020.3	1019.0	Sat
Adelaide	1973	05	19	0.0	5.0	17.0	9.7	2.0	22000.0	22000.0	22000.0	24000.0	40000.0	31333.3	0.0	6.0	3.0	1027.8	1031.2	1029.7	Sat
Adelaide	1973	05	26	0.0	10.0	16.0	12.5	4.6	22000.0	22000.0	22000.0	30000.0	50000.0	37500.0	6.0	8.0	6.8	1024.4	1025.7	1024.9	Sat
Adelaide	1973	06	02	?	9.0	14.0	11.5	6.7	420.0	9000.0	2880.0	24000.0	40000.0	29500.0	8.0	8.0	8.0	1009.9	1016.1	1013.5	Sat
Adelaide	1973	06	09	?	13.0	13.0	13.0	10.3	210.0	22000.0	16552.5	24000.0	30000.0	28500.0	9.0	11.0	9.8	1007.7	1010.4	1009.5	Sat
Adelaide	1973	06	16	0.0	3.0	12.0	6.5	2.6	9000.0	22000.0	18750.0	30000.0	50000.0	35000.0	2.0	6.0	3.5	1026.5	1028.7	1027.7	Sat
Adelaide	1973	06	23	0.0	11.0	17.0	14.2	10.3	3600.0	22000.0	10900.0	24000.0	30000.0	28500.0	9.0	12.0	10.2	1009.5	1012.4	1010.4	Sat
